Summary Table,,,,Intake Performance,,,,,,,,,,,,
Metric,Value,,,Agent,Total Leads,MQLs,SQLs,Scheduled,Showups,No Shows,Hired (All),Hired (Excl. Strategy),Strategy Sessions,Converted Sessions,Unconverted Sessions,Total Value
Total Leads,80,,,Claud,48,14,11,13,12,1,3,1,2,2,0,"$8,700"
Total Hired (All),7,,,Santiago,19,6,2,6,4,2,1,1,0,0,0,$650
Total Hired (Excluding Strategy Sessions),4,,,Gizelle,5,1,0,1,1,0,0,0,0,0,0,0
Total SQLs,18,,,Peter,4,1,1,1,1,0,0,0,0,0,0,0
Total MQLs,26,,,Lu,3,3,3,3,3,0,3,2,1,1,0,"18,150"
Total Scheduled,25,,,Meylin,1,1,1,1,1,0,0,0,0,0,0,$0
Total Showups,22,,,TOTAL,80,26,18,25,22,3,7,4,3,3,0,"$27,500.00"
Total No Shows,3,,,,,,,,,,,,,,,
Total Marketing Contacts,0,,,,,,,,,,,,,,,
Average Daily Leads,11.4,,,,,,,,,,,,,,,
Consultation Rate (%),31%,,,,,,,,,,,,,,,
Conversion Rate (%),8.80%,,,,,,,,,,,,,,,
MQL Rate (%),32.50%,,,,,,,,,,,,,,,
SQL Rate (%),22.50%,,,,,,,,,,,,,,,
Total Revenue,"$27,500.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reason Analysis,,,,,,,,,,,,,,,,
Reason,Count,Percentage,,,,,,,,,,,,,,
Scheduled,27,33.8,,Family,,,,,,,,,,,,
In-Progress,20,25,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Spam,8,10,,30,19,12,18,15,2,0,"$19,350",$3,3,,,
Outside Jurisdiction,8,10,,,,,,,,,,,,,,
Probono,5,6.2,,,,,,,,,,,,,,
Legal Aid,2,2.5,,Civil,,,,,,,,,,,,
Wrong Number,2,2.5,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Not Interested,1,1.2,,12,3,3,3,3,1,0,$650,0,0,,,
Not a Matter We Handle,1,1.2,,,,,,,,,,,,,,
Mentally Unwell,1,1.2,,,,,,,,,,,,,,
Pricing Issue,1,1.2,,Criminal,,,,,,,,,,,,
Contingency,1,1.2,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Free Legal Advice,1,1.2,,10,2,1,2,2,0,0,$0,0,0,,,
Not Ready,1,1.2,,,,,,,,,,,,,,
Solicitation,1,1.2,,,,,,,,,,,,,,
,,,,Real Estate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,7,1,1,1,1,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Probate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,1,1,1,1,1,1,0,"$7,500",0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Other,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,20,0,0,0,0,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Source Analysis,,,,,,,,,,,,
,,,,Channel,Total Leads,MQLs,SQLs,Scheduled,Hired,Total Value,Conversion Rate (%),Schedule Rate (%),MQL Rate (%),SQL Rate (%),,
,,,,Google,33,11,8,10,3,"$8,800",$9,30.3,33.3,24.2,,
,,,,Denise Isaacs,12,7,5,8,2,"$1,200",$17,66.7,58.3,41.7,,
,,,,Unassigned,12,0,0,0,0,$0,$0,0,0,0,,
,,,,Google LSA,7,5,3,5,1,"$7,500",$14,71.4,71.4,42.9,,
,,,,Referral-Attorney,3,1,1,1,1,"$10,000",$33,33.3,33.3,33.3,,
,,,,Avvo,2,1,1,1,0,$0,$0,50,50,50,,
,,,,Facebook,2,0,0,0,0,$0,$0.00,0,0,0,,
,,,,Referral-Business Associate,2,0,0,0,0,$0,0,0,0,0,,
,,,,Website,2,0,0,0,0,$0,0,0,0,0,,
,,,,YouTube,2,0,0,0,0,$0,0,0,0,0,,
,,,,Instagram,1,0,0,0,0,$0,0,0,0,0,,
,,,,Mark Shecter,1,0,0,0,0,$0,0,0,0,0,,
,,,,Referral-Client,1,1,0,0,0,$0,0,0,100,0,,
,,,,TOTAL,80,26,18,25,7,"$27,500",8.8,31.3,32.5,22.5,,
